year,city,state,city_tier,population_approx,median_salary_gross_usd_monthly,median_salary_net_usd_monthly,median_salary_gross_usd_annual,national_median_gross_usd_monthly,national_median_gross_usd_annual,national_mean_gross_usd_monthly,fed_min_wage_usd_hourly,salary_to_national_ratio,cpi_annual_pct,cost_of_living_index,rent_1br_city_center_usd,rent_1br_outside_center_usd,meal_cheap_restaurant_usd,groceries_monthly_usd,public_transport_monthly_usd,est_monthly_cost_single_usd,affordability_ratio,rent_to_income_pct,data_source
2010,New York City,New York,megalopolis,8300000,3690,2694,44280,2820,33840,3622,7.25,1.309,1.6,95.5,2750,1972,15,424,93,2893,0.93,53.4,numbeo
2011,New York City,New York,megalopolis,8300000,3850,2810,46200,2872,34460,3701,7.25,1.341,3.2,95.7,2862,1934,15,419,93,2854,0.98,50.2,numbeo
2012,New York City,New York,megalopolis,8300000,3893,2842,46716,2896,34750,3769,7.25,1.344,2.1,96.0,2692,2045,17,424,98,3017,0.94,52.5,numbeo
2013,New York City,New York,megalopolis,8300000,3830,2796,45960,2923,35080,3870,7.25,1.31,1.5,97.5,2748,2171,17,463,98,3184,0.88,56.7,numbeo
2014,New York City,New York,megalopolis,8300000,4092,2987,49104,2962,35540,3936,7.25,1.381,1.6,97.6,2736,2116,16,449,98,3096,0.96,51.7,numbeo
2015,New York City,New York,megalopolis,8300000,4054,2959,48648,3017,36200,4027,7.25,1.344,0.1,97.2,2771,2103,16,467,95,3098,0.96,51.9,numbeo
2016,New York City,New York,megalopolis,8300000,4059,2963,48708,3087,37040,4136,7.25,1.315,1.3,97.8,2792,2100,17,477,99,3131,0.95,51.7,numbeo
2017,New York City,New York,megalopolis,8300000,4114,3003,49368,3141,37690,4218,7.25,1.31,2.1,97.9,2932,2153,17,465,100,3175,0.95,52.3,numbeo
2018,New York City,New York,megalopolis,8300000,4437,3239,53244,3220,38640,4330,7.25,1.378,2.4,98.3,3067,2207,18,486,108,3281,0.99,49.7,numbeo
2019,New York City,New York,megalopolis,8300000,4626,3377,55512,3318,39810,4458,7.25,1.394,1.8,99.3,3200,2178,18,479,106,3245,1.04,47.1,numbeo
